m2,m3,m4,k,alpha,beta,Tem,omega_1,omega_2,omega_3,D_1,D_2,D_3,EVnorm1_1,EVnorm1_2,EVnorm1_3,EVnorm2_1,EVnorm2_2,EVnorm2_3,EVnorm3_1,EVnorm3_2,EVnorm3_3
1,1,1,2,1,1,20,22.6,62.2,85.9,0.015,0.0081,0.0079,0.336,0.601,0.725,0.756,0.222,-0.616,0.523,-0.74,0.424
1.15356085682194,0.89050127573725,1,2,1,1,20,22.8,60.1,87,0.0149,0.0082,0.0079,0.341,0.598,0.725,0.777,0.161,-0.609,0.413,-0.795,0.444
0.991544282739966,1.05545075074374,1,2,1,1,20,22.4,62.2,84.9,0.0151,0.0081,0.0079,0.336,0.602,0.724,0.747,0.228,-0.624,0.546,-0.722,0.426
0.962477910310644,0.836380050109423,1,2,1,1,20,23.2,63,89.9,0.0147,0.0081,0.008,0.335,0.597,0.729,0.773,0.231,-0.591,0.486,-0.78,0.395
1.08055805201092,1.11351469197988,1,2,1,1,20,22.2,60.9,83,0.0152,0.0082,0.0079,0.339,0.604,0.722,0.751,0.194,-0.631,0.513,-0.725,0.459
1.07402632331745,1.07980307929843,1,2,1,1,20,22.3,61.1,83.7,0.0152,0.0082,0.0079,0.338,0.603,0.723,0.754,0.195,-0.627,0.507,-0.733,0.454
0.932306387966945,1.06932138678637,1,2,1,1,20,22.4,63.1,85.3,0.0151,0.0081,0.0079,0.334,0.603,0.725,0.736,0.253,-0.627,0.586,-0.701,0.405
1.12835156215888,1.1536884000696,1,2,1,1,20,22,60.3,82,0.0153,0.0082,0.0079,0.34,0.605,0.72,0.751,0.176,-0.636,0.499,-0.723,0.477
1.11306691469424,0.986497585202485,1,2,1,1,20,22.5,60.6,85.2,0.015,0.0082,0.0079,0.34,0.601,0.724,0.767,0.178,-0.617,0.459,-0.765,0.452
1.11521931991599,0.909641151393899,1,2,1,1,20,22.8,60.6,86.8,0.0149,0.0082,0.0079,0.34,0.599,0.725,0.774,0.175,-0.608,0.436,-0.785,0.44
0.826950779337219,1.1937426955177,1,2,1,1,20,22.1,64.2,84.9,0.0152,0.0081,0.0079,0.331,0.606,0.723,0.691,0.306,-0.655,0.698,-0.621,0.357
0.986315751809193,0.859731176636673,1,2,1,1,20,23.1,62.6,89.1,0.0147,0.0081,0.008,0.336,0.597,0.728,0.772,0.222,-0.595,0.482,-0.778,0.404
0.949081221984062,0.961413273700345,1,2,1,1,20,22.8,63,87.2,0.0149,0.0081,0.0079,0.335,0.6,0.727,0.755,0.242,-0.61,0.539,-0.739,0.405
1.02346487183724,1.11792089379842,1,2,1,1,20,22.2,61.7,83.5,0.0152,0.0082,0.0079,0.337,0.604,0.722,0.744,0.217,-0.633,0.547,-0.712,0.441
0.906515907686098,0.945262701214984,1,2,1,1,20,22.9,63.6,88,0.0148,0.0081,0.008,0.334,0.6,0.728,0.752,0.259,-0.607,0.558,-0.733,0.39
0.848221988365037,1.00686326590284,1,2,1,1,20,22.7,64.4,87.6,0.0149,0.0081,0.008,0.332,0.601,0.727,0.731,0.288,-0.618,0.618,-0.693,0.37
1.11808471978325,1.16133052798256,1,2,1,1,20,22,60.4,81.9,0.0153,0.0082,0.0079,0.34,0.605,0.72,0.75,0.181,-0.637,0.506,-0.72,0.475
0.856217195004761,0.890629648432446,1,2,1,1,20,23.1,64.5,89.8,0.0147,0.0081,0.008,0.332,0.598,0.729,0.753,0.279,-0.596,0.568,-0.735,0.369
0.922657702238066,1.0014613853023,1,2,1,1,20,22.7,63.3,86.7,0.0149,0.0081,0.0079,0.334,0.601,0.726,0.745,0.255,-0.616,0.569,-0.72,0.399
0.888221438506,0.949422145106918,1,2,1,1,20,22.9,63.9,88.1,0.0148,0.0081,0.008,0.333,0.6,0.728,0.748,0.267,-0.607,0.571,-0.726,0.384
0.952766450477201,1.09444751297128,1,2,1,1,20,22.3,62.7,84.7,0.0151,0.0081,0.0079,0.335,0.603,0.724,0.736,0.245,-0.631,0.582,-0.7,0.414
1.12417655954227,1.10047001807168,1,2,1,1,20,22.2,60.4,82.9,0.0152,0.0082,0.0079,0.34,0.603,0.721,0.756,0.177,-0.63,0.486,-0.737,0.47
0.881037935422188,0.820800714279724,1,2,1,1,20,23.3,64.3,91.1,0.0146,0.0081,0.008,0.333,0.596,0.731,0.767,0.264,-0.584,0.525,-0.766,0.372
1.18849003544788,0.804320901633262,1,2,1,1,20,23,59.7,89,0.0147,0.0082,0.008,0.343,0.596,0.726,0.784,0.147,-0.603,0.375,-0.82,0.431
1.00454557447805,0.858180612774591,1,2,1,1,20,23,62.3,88.9,0.0147,0.0081,0.008,0.337,0.597,0.728,0.774,0.215,-0.596,0.472,-0.782,0.408
1.01499615403016,1.15820031199102,1,2,1,1,20,22.1,61.8,82.9,0.0153,0.0082,0.0079,0.337,0.605,0.722,0.737,0.221,-0.639,0.564,-0.698,0.441
0.981567845205893,0.867472409699684,1,2,1,1,20,23,62.6,88.9,0.0147,0.0081,0.008,0.336,0.597,0.728,0.771,0.224,-0.596,0.487,-0.775,0.404
0.950342431680079,0.907053676931911,1,2,1,1,20,22.9,63,88.3,0.0148,0.0081,0.008,0.335,0.598,0.728,0.763,0.239,-0.601,0.518,-0.756,0.4
1.19442615431733,1.1595835917036,1,2,1,1,20,21.9,59.4,81.4,0.0154,0.0082,0.0079,0.342,0.605,0.719,0.756,0.152,-0.636,0.467,-0.732,0.496
1.05226353216358,0.924131162565889,1,2,1,1,20,22.8,61.5,87,0.0149,0.0082,0.0079,0.338,0.599,0.726,0.769,0.199,-0.607,0.47,-0.772,0.429
1.02357324106834,1.10968279248729,1,2,1,1,20,22.2,61.7,83.6,0.0152,0.0082,0.0079,0.337,0.604,0.723,0.745,0.216,-0.632,0.544,-0.714,0.441
0.832867137657469,1.0911254935182,1,2,1,1,20,22.5,64.4,86.4,0.0151,0.0081,0.0079,0.331,0.603,0.725,0.712,0.299,-0.635,0.659,-0.658,0.363
0.981064014574741,0.857918935231671,1,2,1,1,20,23.1,62.6,89.2,0.0147,0.0081,0.008,0.336,0.597,0.728,0.772,0.224,-0.595,0.484,-0.777,0.402
0.835144532650746,1.15878105587699,1,2,1,1,20,22.2,64.2,85.3,0.0152,0.0081,0.0079,0.332,0.605,0.724,0.7,0.301,-0.648,0.681,-0.636,0.362
0.981612834765141,1.15548597476502,1,2,1,1,20,22.1,62.2,83.3,0.0153,0.0081,0.0079,0.336,0.605,0.722,0.732,0.235,-0.639,0.584,-0.69,0.428
0.962121295577784,1.02053018845054,1,2,1,1,20,22.6,62.7,85.9,0.015,0.0081,0.0079,0.335,0.601,0.725,0.748,0.239,-0.619,0.551,-0.725,0.413
0.834575268340516,1.11083665797484,1,2,1,1,20,22.4,64.3,86,0.0151,0.0081,0.0079,0.331,0.604,0.725,0.709,0.299,-0.639,0.665,-0.652,0.364
0.851321032199287,0.845783047083833,1,2,1,1,20,23.3,64.7,90.9,0.0146,0.0081,0.008,0.332,0.597,0.731,0.759,0.278,-0.588,0.553,-0.749,0.365
1.02603653057002,1.18726830966632,1,2,1,1,20,22,61.6,82.4,0.0153,0.0082,0.0079,0.337,0.605,0.721,0.735,0.218,-0.642,0.566,-0.693,0.446
0.969464836175026,0.9995603267675,1,2,1,1,20,22.6,62.6,86.2,0.015,0.0081,0.0079,0.336,0.601,0.725,0.752,0.235,-0.616,0.54,-0.733,0.414
1.1145744853519,1.03360784109197,1,2,1,1,20,22.4,60.6,84.2,0.0151,0.0082,0.0079,0.34,0.602,0.723,0.762,0.178,-0.622,0.472,-0.753,0.459
0.987970976742713,0.989233615842735,1,2,1,1,20,22.6,62.4,86.2,0.015,0.0081,0.0079,0.336,0.601,0.725,0.756,0.227,-0.614,0.526,-0.74,0.419
0.935779603779395,1.051124950153,1,2,1,1,20,22.5,63,85.6,0.015,0.0081,0.0079,0.334,0.602,0.725,0.74,0.251,-0.624,0.578,-0.708,0.406
0.850147110255381,1.02308113637604,1,2,1,1,20,22.7,64.3,87.2,0.0149,0.0081,0.008,0.332,0.602,0.727,0.729,0.288,-0.621,0.623,-0.688,0.371
1.16714837453376,0.9349284408459,1,2,1,1,20,22.6,59.9,85.9,0.015,0.0082,0.0079,0.342,0.599,0.724,0.774,0.157,-0.614,0.42,-0.785,0.455
0.931078757470813,1.03063790785364,1,2,1,1,20,22.6,63.1,86,0.015,0.0081,0.0079,0.334,0.602,0.725,0.742,0.252,-0.621,0.574,-0.713,0.403
1.07527412251802,1.05043095111459,1,2,1,1,20,22.4,61.1,84.2,0.0151,0.0082,0.0079,0.339,0.602,0.723,0.757,0.194,-0.624,0.497,-0.741,0.451
1.17190556456633,0.932552158675433,1,2,1,1,20,22.6,59.8,85.9,0.015,0.0082,0.0079,0.342,0.599,0.724,0.774,0.155,-0.614,0.418,-0.786,0.455
0.966749299857858,0.934325151595221,1,2,1,1,20,22.8,62.8,87.6,0.0149,0.0081,0.008,0.335,0.599,0.727,0.761,0.233,-0.606,0.519,-0.752,0.407
0.895112194166918,0.960089176003961,1,2,1,1,20,22.8,63.8,87.8,0.0149,0.0081,0.008,0.333,0.6,0.727,0.747,0.265,-0.609,0.571,-0.724,0.387
1.18156253031382,0.87729146875586,1,2,1,1,20,22.8,59.7,87.2,0.0149,0.0082,0.0079,0.342,0.598,0.725,0.778,0.151,-0.609,0.398,-0.801,0.446
1.04328028776299,0.861825337002344,1,2,1,1,20,23,61.7,88.5,0.0148,0.0082,0.008,0.338,0.597,0.727,0.776,0.2,-0.599,0.454,-0.787,0.417
0.902691178420249,1.11983688913151,1,2,1,1,20,22.3,63.4,84.9,0.0152,0.0081,0.0079,0.333,0.604,0.724,0.723,0.268,-0.637,0.623,-0.676,0.395
0.893501020136353,0.947978980313977,1,2,1,1,20,22.9,63.8,88.1,0.0148,0.0081,0.008,0.333,0.6,0.728,0.749,0.265,-0.607,0.567,-0.728,0.385
0.926973565028167,1.1542834980776,1,2,1,1,20,22.2,63,84,0.0152,0.0081,0.0079,0.334,0.605,0.723,0.722,0.259,-0.642,0.618,-0.673,0.405
0.81117321158143,1.05207399766361,1,2,1,1,20,22.6,64.8,87.4,0.015,0.0081,0.008,0.331,0.602,0.727,0.715,0.307,-0.628,0.66,-0.663,0.354
0.892935327686691,1.08518604122563,1,2,1,1,20,22.4,63.6,85.6,0.0151,0.0081,0.0079,0.333,0.603,0.725,0.727,0.271,-0.631,0.617,-0.683,0.39
