,0
0,0
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,10
113,10
114,10
115,10
116,10
117,10
118,10
119,10
120,10
121,10
122,10
123,10
124,10
125,10
126,10
127,10
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,10
136,10
137,10
138,10
139,10
140,10
141,10
142,10
143,10
144,10
145,10
146,10
147,10
148,10
149,10
150,10
151,10
152,10
153,10
154,10
155,10
156,10
157,10
158,10
159,10
160,10
161,10
162,10
163,10
164,10
165,10
166,10
167,10
168,10
169,10
170,10
171,10
172,10
173,10
174,10
175,10
176,10
177,10
178,10
179,10
180,10
181,10
182,10
183,10
184,10
185,10
186,10
187,10
188,10
189,10
190,10
191,10
192,10
193,10
194,10
195,10
196,0
197,10
198,10
199,10
200,10
201,100
202,100
203,100
204,100
205,100
206,100
207,100
208,100
209,100
210,100
211,100
212,100
213,100
214,100
215,100
216,100
217,100
218,100
219,100
220,100
221,100
222,100
223,100
224,100
225,100
226,100
227,100
228,100
229,100
230,100
231,100
232,100
233,100
234,100
235,100
236,100
237,100
238,100
239,100
240,100
241,100
242,100
243,100
244,100
245,100
246,100
247,100
248,100
249,100
250,100
251,100
252,100
253,100
254,100
255,100
256,100
257,100
258,100
259,100
260,100
261,100
262,100
263,100
264,100
265,100
266,100
267,100
268,100
269,100
270,100
271,100
272,100
273,100
274,100
275,100
276,100
277,100
278,100
279,100
280,100
281,100
282,100
283,100
284,100
285,100
286,100
287,100
288,100
289,100
290,100
291,100
292,100
293,100
294,100
295,100
296,100
297,100
298,100
299,100
300,100
301,1000
302,1000
303,1000
304,1000
305,1000
306,1000
307,1000
308,1000
309,1000
310,1000
311,1000
312,1000
313,1000
314,1000
315,1000
316,1000
317,1000
318,1000
319,1000
320,1000
321,0
322,1000
323,1000
324,1000
325,1000
326,1000
327,1000
328,1000
329,1000
330,1000
331,1000
332,1000
333,1000
334,1000
335,1000
336,1000
337,1000
338,1000
339,1000
340,1000
341,1000
342,1000
343,1000
344,1000
345,1000
346,1000
347,1000
348,1000
349,1000
350,1000
351,1000
352,1000
353,1000
354,1000
355,1000
356,1000
357,1000
358,1000
359,1000
360,1000
361,1000
362,1000
363,1000
364,1000
365,1000
366,1000
367,1000
368,1000
369,1000
370,1000
371,1000
372,1000
373,1000
374,1000
375,1000
376,1000
377,1000
378,1000
379,1000
380,1000
381,1000
382,1000
383,1000
384,1000
385,1000
386,1000
387,1000
388,1000
389,1000
390,1000
391,1000
392,1000
393,1000
394,1000
395,1000
396,1000
397,1000
398,1000
399,1000
400,1000
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,10000
502,10000
503,10000
504,10000
505,10000
506,10000
507,10000
508,10000
509,10000
510,10000
511,10000
512,10000
513,10000
514,10000
515,10000
516,10000
517,10000
518,10000
519,10000
520,10000
521,10000
522,10000
523,10000
524,10000
525,10000
526,10000
527,10000
528,10000
529,10000
530,10000
531,10000
532,10000
533,10000
534,10000
535,10000
536,10000
537,10000
538,10000
539,10000
540,10000
541,10000
542,10000
543,10000
544,10000
545,10000
546,10000
547,10000
548,10000
549,10000
550,10000
551,10000
552,10000
553,10000
554,10000
555,10000
556,10000
557,10000
558,10000
559,10000
560,10000
561,10000
562,10000
563,10000
564,10000
565,10000
566,10000
567,10000
568,10000
569,10000
570,10000
571,10000
572,10000
573,10000
574,10000
575,10000
576,10000
577,10000
578,10000
579,10000
580,10000
581,10000
582,10000
583,10000
584,10000
585,10000
586,10000
587,10000
588,10000
589,10000
590,10000
591,10000
592,10000
593,10000
594,10000
595,10000
596,10000
597,10000
598,10000
599,10000
600,10000
601,100000
602,100000
603,100000
604,100000
605,100000
606,100000
607,100000
608,100000
609,100000
610,100000
611,100000
612,100000
613,100000
614,100000
615,100000
616,100000
617,100000
618,100000
619,100000
620,100000
621,100000
622,100000
623,100000
624,100000
625,100000
626,100000
627,100000
628,100000
629,100000
630,100000
631,100000
632,100000
633,100000
634,100000
635,100000
636,100000
637,100000
638,100000
639,100000
640,100000
641,100000
642,100000
643,100000
644,100000
645,100000
646,100000
647,0
648,100000
649,100000
650,100000
651,100000
652,100000
653,100000
654,100000
655,100000
656,100000
657,100000
658,100000
659,100000
660,100000
661,100000
662,100000
663,100000
664,100000
665,100000
666,100000
667,100000
668,100000
669,100000
670,100000
671,100000
672,100000
673,100000
674,100000
675,100000
676,100000
677,100000
678,100000
679,100000
680,100000
681,100000
682,0
683,100000
684,100000
685,100000
686,100000
687,100000
688,100000
689,100000
690,100000
691,100000
692,100000
693,100000
694,100000
695,100000
696,100000
697,100000
698,100000
699,100000
700,100000
701,0
702,11
703,11
704,11
705,11
706,11
707,11
708,11
709,11
710,11
711,11
712,11
713,11
714,11
715,11
716,11
717,11
718,11
719,11
720,11
721,11
722,11
723,11
724,11
725,11
726,11
727,11
728,11
729,11
730,11
731,11
732,11
733,11
734,11
735,11
736,11
737,11
738,11
739,11
740,11
741,11
742,11
743,11
744,11
745,11
746,11
747,11
748,11
749,11
750,11
751,11
752,11
753,11
754,11
755,11
756,11
757,11
758,11
759,11
760,11
761,11
762,11
763,11
764,11
765,11
766,11
767,11
768,11
769,11
770,11
771,11
772,11
773,11
774,11
775,11
776,11
777,11
778,11
779,11
780,11
781,11
782,11
783,11
784,11
785,11
786,11
787,11
788,11
789,11
790,11
791,11
792,11
793,11
794,11
795,11
796,11
797,11
798,11
799,11
800,11
801,11
802,101
803,101
804,101
805,101
806,101
807,101
808,101
809,101
810,101
811,101
812,101
813,101
814,101
815,101
816,101
817,101
818,101
819,101
820,101
821,101
822,101
823,101
824,101
825,101
826,101
827,101
828,101
829,101
830,101
831,101
832,101
833,101
834,101
835,101
836,101
837,101
838,101
839,101
840,101
841,101
842,101
843,101
844,101
845,101
846,101
847,101
848,101
849,101
850,101
851,101
852,101
853,101
854,101
855,101
856,101
857,101
858,101
859,101
860,101
861,101
862,101
863,101
864,101
865,101
866,101
867,101
868,101
869,101
870,101
871,101
872,101
873,101
874,101
875,101
876,101
877,101
878,101
879,101
880,101
881,101
882,101
883,101
884,101
885,101
886,101
887,101
888,101
889,101
890,101
891,101
892,101
893,101
894,101
895,101
896,101
897,101
898,101
899,101
900,101
901,101
902,1001
903,1001
904,1001
905,1001
906,1001
907,1001
908,1001
909,1001
910,1001
911,1001
912,1001
913,1001
914,1001
915,1001
916,1001
917,1001
918,1001
919,1001
920,1001
921,1001
922,1001
923,1001
924,1001
925,1001
926,1001
927,1001
928,1001
929,1001
930,110
931,1001
932,1001
933,1001
934,1001
935,1001
936,1001
937,1001
938,1001
939,1001
940,1001
941,1001
942,1001
943,1001
944,1001
945,1001
946,1001
947,1001
948,1001
949,1001
950,1001
951,1001
952,1001
953,1001
954,1001
955,1001
956,1001
957,1001
958,1001
959,1001
960,1001
961,1001
962,1001
963,1001
964,1001
965,1001
966,1001
967,1001
968,1001
969,1001
970,1001
971,1001
972,1001
973,1001
974,1001
975,1001
976,1001
977,1001
978,1001
979,1001
980,1001
981,1001
982,1001
