,0
0,110000
1,110001
2,110001
3,110001
4,110001
5,110001
6,110001
7,110001
8,110001
9,110001
10,110001
11,110001
12,110001
13,110001
14,110001
15,110001
16,110001
17,110001
18,110001
19,110001
20,110001
21,110001
22,110001
23,110001
24,110001
25,110001
26,110001
27,110001
28,110001
29,110001
30,110001
31,110001
32,110001
33,110001
34,110001
35,110001
36,110001
37,110001
38,110001
39,110001
40,110001
41,110001
42,110001
43,110001
44,110001
45,110001
46,110001
47,110001
48,110001
49,110001
50,110001
51,110001
52,110001
53,110001
54,110001
55,110001
56,110001
57,110001
58,110001
59,110001
60,110001
61,110001
62,110001
63,110001
64,110001
65,110001
66,110001
67,110001
68,110001
69,110001
70,110001
71,110001
72,110001
73,110001
74,110001
75,110001
76,110001
77,110001
78,110001
79,110001
80,110001
81,110001
82,110001
83,110001
84,110001
85,110001
86,110001
87,110001
88,110001
89,110001
90,110001
91,110001
92,110001
93,110001
94,110001
95,110001
96,110001
97,110001
98,110001
99,110001
100,110001
101,110001
102,110001
103,110001
104,110001
105,110001
106,110001
107,110001
108,110001
109,110001
110,110001
111,110001
112,110001
113,110001
114,110001
115,110001
116,110001
117,110001
118,110001
119,110001
120,110001
121,110001
122,110001
123,110001
124,110001
125,110001
126,110001
127,110001
128,110001
129,110001
130,110001
131,110001
132,110001
133,110001
134,110001
135,110001
136,110001
137,110001
138,110001
139,110001
140,110001
141,110001
142,110001
143,110001
144,110001
145,110001
146,110001
147,110001
148,110001
149,110001
150,110001
151,110001
152,110001
153,110001
154,110001
155,110001
156,110001
157,110001
158,110001
159,110001
160,110001
161,110001
162,110001
163,110001
164,110001
165,110001
166,110001
167,110001
168,110001
169,110001
170,110001
171,110001
172,110001
173,110001
174,110001
175,110001
176,110001
177,110001
178,110001
179,110001
180,110001
181,110001
182,110001
183,110001
184,110001
185,110001
186,110001
187,110001
188,110001
189,110001
190,110001
191,110001
192,110001
193,110001
194,110001
195,110001
196,110001
197,110001
198,110001
199,110001
200,110001
201,110001
202,110001
203,110001
204,110001
205,110001
206,110001
207,110001
208,110001
209,110001
210,110001
211,110001
212,110001
213,110001
214,110001
215,110001
216,110001
217,110001
218,110001
219,110001
220,110001
221,110001
222,110001
223,110001
224,110001
225,110001
226,110001
227,110001
228,110001
229,110001
230,110001
231,110001
232,110001
233,110001
234,110001
235,110001
236,110001
237,110001
238,110001
239,110001
240,110001
241,110001
242,110001
243,110001
244,110001
245,110001
246,110001
247,110001
248,110001
249,110001
250,110001
251,110010
252,110010
253,110010
254,110010
255,110010
256,110010
257,110010
258,110010
259,110010
260,110010
261,110010
262,110010
263,110010
264,110010
265,110010
266,110010
267,110010
268,110010
269,110010
270,110010
271,110010
272,110010
273,110010
274,110010
275,110010
276,110010
277,110010
278,110010
279,110010
280,110010
281,110010
282,110010
283,110010
284,110010
285,110010
286,110010
287,110010
288,110010
289,110010
290,110010
291,110010
292,110010
293,110010
294,110010
295,110010
296,110010
297,110010
298,110010
299,110010
300,110010
301,110010
302,110010
303,110010
304,110010
305,110010
306,110010
307,110010
308,110010
309,110010
310,110010
311,110010
312,110010
313,110010
314,110010
315,110010
316,110010
317,110010
318,110010
319,110010
320,110010
321,110010
322,110010
323,110010
324,110010
325,110010
326,110010
327,110010
328,110010
329,110010
330,110010
331,110010
332,110010
333,110010
334,110010
335,110010
336,110010
337,110010
338,110010
339,110010
340,110010
341,110010
342,110010
343,110010
344,110010
345,110010
346,110010
347,110010
348,110010
349,110010
350,110010
351,110010
352,110010
353,110010
354,110010
355,110010
356,110010
357,110010
358,110010
359,110010
360,110010
361,110010
362,110010
363,110010
364,110010
365,110010
366,110010
367,110010
368,110010
369,110010
370,110010
371,110010
