,0
0,110000
1,110001
2,110100
3,110000
4,111000
5,110001
6,110010
7,110001
8,110000
9,110001
10,111000
11,110000
12,111000
13,110001
14,110001
15,110000
16,110000
17,111000
18,110100
19,111000
20,110001
21,110010
22,110010
23,110000
24,110010
25,110000
26,110010
27,110000
28,110000
29,110010
30,110001
31,110010
32,110000
33,111000
34,110100
35,110000
36,110010
37,110000
38,110000
39,110100
40,110000
41,111000
42,111000
43,110100
44,110100
45,110000
46,110001
47,110000
48,110000
49,110100
50,111000
51,110000
52,110000
53,110100
54,110000
55,110000
56,111000
57,110000
58,110100
59,110100
60,110001
61,110000
62,110000
63,110001
64,110000
65,111000
66,111000
67,110000
68,111000
69,110001
70,111000
71,111000
72,110100
73,110010
74,110001
75,110000
76,111000
77,110000
78,110100
79,110000
80,110000
81,110010
82,110000
83,110010
84,110100
85,110010
86,110100
87,110000
88,110001
89,110010
90,110000
91,110000
92,110001
93,110000
94,111000
95,110000
96,110010
97,110000
98,111000
99,111000
100,110000
101,110010
102,110100
103,110001
104,110010
105,110001
106,110000
107,111000
108,110010
109,110000
110,110001
111,111000
112,110000
113,110000
114,110000
115,110100
116,110100
117,110100
118,110010
119,110100
120,110000
121,110001
122,110000
123,110000
124,110010
125,110000
126,110001
127,111000
128,110000
129,110001
130,110010
131,111000
132,110100
133,110010
134,110000
135,110010
136,110000
137,110000
138,110001
139,110000
140,110010
