m2,m3,m4,k,alpha,beta,Tem,omega_1,omega_2,omega_3,D_1,D_2,D_3,EVnorm1_1,EVnorm1_2,EVnorm1_3,EVnorm2_1,EVnorm2_2,EVnorm2_3,EVnorm3_1,EVnorm3_2,EVnorm3_3
1,1,1,2,1,1,20,22.6,62.2,85.9,0.015,0.0081,0.0079,0.336,0.601,0.725,0.756,0.222,-0.616,0.523,-0.74,0.424
0.809886936342157,1.17266719577909,0.896162676032614,1.72901244458164,1,1,20,21.1,61.2,80,0.0159,0.0082,0.0079,0.334,0.608,0.72,0.693,0.267,-0.67,0.673,-0.622,0.401
1.18452644561909,0.985507499917611,0.832569041242292,2.28979977274742,1,1,20,24.9,65.5,92.3,0.0138,0.0081,0.008,0.348,0.605,0.716,0.761,0.074,-0.645,0.377,-0.744,0.551
0.810532675570687,1.15599798192405,1.1223850069303,1.9091875520318,1,1,20,21.3,61.8,83.3,0.0158,0.0082,0.0079,0.327,0.601,0.729,0.693,0.359,-0.626,0.722,-0.623,0.302
1.06272130654348,0.936781948877123,0.887030717317234,2.27877003817493,1,1,20,24.8,66.6,93.4,0.0138,0.008,0.008,0.342,0.603,0.721,0.764,0.144,-0.629,0.438,-0.756,0.487
0.83445077426178,1.16109330995069,1.06666151992152,1.74114853759932,1,1,20,20.5,59.2,79.3,0.0163,0.0082,0.0079,0.33,0.603,0.726,0.698,0.328,-0.636,0.698,-0.634,0.333
1.04459356095979,1.19764391822784,0.933378843607705,1.95850305628912,1,1,20,22,61.4,81.6,0.0153,0.0082,0.0079,0.34,0.608,0.718,0.737,0.18,-0.651,0.535,-0.689,0.489
1.00132049350416,0.821983756476863,1.02085695147254,1.95780598636307,1,1,20,22.8,61.5,88.8,0.0149,0.0082,0.008,0.336,0.596,0.73,0.779,0.223,-0.586,0.465,-0.793,0.394
0.8739997548382,0.846167065844271,0.854204535675226,2.35948808220573,1,1,20,26.1,71.5,99.5,0.0133,0.008,0.0081,0.338,0.601,0.724,0.758,0.204,-0.619,0.502,-0.745,0.438
1.01916483529729,0.83601083270938,1.13060927443799,1.98083590660407,1,1,20,22.4,60.7,88.2,0.0151,0.0082,0.008,0.333,0.593,0.733,0.783,0.258,-0.566,0.481,-0.799,0.36
1.16355715823146,0.877994317988737,0.974051224944297,2.15067784675818,1,1,20,23.8,62.4,90.7,0.0144,0.0081,0.008,0.343,0.598,0.724,0.776,0.146,-0.613,0.4,-0.796,0.454
1.15311900616135,0.986284588719758,0.832694989772038,2.14453130915697,1,1,20,24.1,63.8,89.5,0.0142,0.0081,0.008,0.347,0.605,0.716,0.76,0.085,-0.644,0.391,-0.742,0.545
0.836443768431966,0.822477236607608,1.19510344514771,1.78705186756645,1,1,20,21.2,59.9,85.8,0.0159,0.0082,0.0079,0.326,0.591,0.738,0.766,0.352,-0.539,0.585,-0.756,0.295
1.12491434667369,0.856682916983227,1.1152182768006,2.02979583628952,1,1,20,22.5,60.1,88,0.015,0.0082,0.008,0.337,0.594,0.731,0.786,0.215,-0.58,0.437,-0.811,0.388
0.894241665264158,0.963668572623256,0.865372571659508,1.95286224358284,1,1,20,23.2,64.5,87.6,0.0147,0.0081,0.008,0.338,0.604,0.722,0.745,0.205,-0.635,0.534,-0.715,0.452
0.970732143305388,0.925643079149376,1.17675217594285,1.79694305873872,1,1,20,20.9,58,82.3,0.016,0.0083,0.0079,0.33,0.594,0.733,0.767,0.297,-0.569,0.548,-0.763,0.342
1.19925037610734,0.822490964730177,1.14544229659874,2.06892482369163,1,1,20,22.7,59.5,89,0.015,0.0082,0.008,0.338,0.592,0.731,0.793,0.199,-0.575,0.401,-0.832,0.384
1.03470710408745,0.957514108229772,0.994185928565524,1.99745491072247,1,1,20,22.7,61.7,86.4,0.0149,0.0082,0.0079,0.338,0.6,0.725,0.764,0.204,-0.612,0.488,-0.759,0.431
1.12049212351398,0.971588508317496,1.04241056952798,2.10610086168961,1,1,20,22.9,61.7,87.4,0.0148,0.0082,0.008,0.339,0.599,0.726,0.77,0.192,-0.608,0.462,-0.774,0.433
1.01027704505676,0.961622912444304,1.07583368029113,1.94018582501797,1,1,20,22,60.5,84.8,0.0153,0.0082,0.0079,0.334,0.598,0.729,0.764,0.247,-0.596,0.521,-0.758,0.391
0.895480615603268,1.10977518376499,0.879974784932694,1.86671201723882,1,1,20,22.1,62.7,83,0.0153,0.0081,0.0079,0.337,0.607,0.719,0.725,0.216,-0.654,0.586,-0.672,0.454
0.938429846477426,0.975711972399052,1.13619788944382,2.23850228411696,1,1,20,23.4,65.5,91.3,0.0146,0.0081,0.008,0.33,0.597,0.731,0.754,0.299,-0.585,0.579,-0.737,0.349
1.06630632918663,0.901341664541467,0.939702184005718,1.96416766328215,1,1,20,22.9,61.3,87.1,0.0148,0.0082,0.0079,0.341,0.6,0.724,0.77,0.166,-0.616,0.441,-0.773,0.455
1.08268959981387,0.999624992205783,0.939363693110993,2.24517652616323,1,1,20,24.1,65.2,90.7,0.0142,0.0081,0.008,0.341,0.603,0.722,0.761,0.163,-0.628,0.461,-0.749,0.475
0.869249955402205,0.885963105133599,1.13815219828756,1.9465800899074,1,1,20,22.1,62.2,87.9,0.0153,0.0081,0.008,0.328,0.594,0.734,0.758,0.324,-0.566,0.584,-0.744,0.324
1.17601425257169,1.11295483426707,1.13123270686435,1.82023418770406,1,1,20,20.5,55.9,77.7,0.0163,0.0084,0.0079,0.337,0.6,0.725,0.763,0.211,-0.611,0.498,-0.755,0.427
0.955260298406132,1.17343862389365,0.978374181102923,1.81053819052539,1,1,20,21.1,59.8,79.4,0.0159,0.0082,0.0079,0.336,0.606,0.721,0.725,0.238,-0.646,0.6,-0.676,0.429
1.09484037902305,1.0222044569,1.00308877488161,1.87733387439467,1,1,20,21.7,58.9,81.9,0.0155,0.0083,0.0079,0.339,0.601,0.723,0.762,0.187,-0.62,0.48,-0.753,0.451
