ID,m2,m3,m4,k,alpha,beta,Tem,omega_1,omega_2,omega_3,D_1,D_2,D_3,EVnorm1_1,EVnorm1_2,EVnorm1_3,EVnorm2_1,EVnorm2_2,EVnorm2_3,EVnorm3_1,EVnorm3_2,EVnorm3_3
1,1,1,1,2,1,1,20,22.574,62.31,85.938,0.015002,0.008128,0.007926,0.33684,0.60156,0.7259,0.75576,0.222,-0.61608,0.52316,-0.74076,0.4242
2,1,1,1,2,1,1,20,22.582,62.322,85.93,0.014998,0.008124,0.007926,0.33674,0.6014,0.7257,0.75574,0.222,-0.61608,0.5233,-0.74096,0.42432
3,1,1,1,2,1,1,20,22.59,62.322,85.906,0.014996,0.008124,0.007928,0.33684,0.60158,0.72594,0.75548,0.22192,-0.61586,0.52346,-0.7412,0.42446
4,1,1,1,2,1,1,20,22.588,62.344,85.918,0.014994,0.008126,0.007926,0.33674,0.6014,0.72572,0.7556,0.22196,-0.61596,0.52346,-0.7412,0.42446
5,1,1,1,2,1,1,20,22.594,62.33,85.884,0.01499,0.008126,0.007928,0.33666,0.60126,0.72554,0.7558,0.22202,-0.61614,0.52322,-0.74084,0.42426
6,1,1,1,2,1,1,20,22.608,62.374,85.886,0.01498,0.008124,0.007926,0.33662,0.6012,0.72546,0.7558,0.22202,-0.61614,0.52322,-0.74084,0.42426
7,1,1,1,2,1,1,20,22.592,62.348,85.912,0.01499,0.008126,0.007928,0.33672,0.6014,0.7257,0.75592,0.22206,-0.61626,0.5231,-0.74066,0.42416
8,1,1,1,2,1,1,20,22.594,62.342,85.838,0.01499,0.008128,0.007934,0.33664,0.60126,0.72554,0.75604,0.22208,-0.61636,0.52286,-0.7403,0.42396
9,1,1,1,2,1,1,20,22.6,62.342,85.866,0.014984,0.008126,0.007934,0.33662,0.60122,0.7255,0.75614,0.22212,-0.61644,0.52296,-0.74044,0.42404
10,1,1,1,2,1,1,20,22.606,62.318,85.874,0.014976,0.008128,0.00793,0.33656,0.6011,0.72536,0.75594,0.22206,-0.6163,0.523,-0.7405,0.42408
11,1,1,1,2,1,1,20,22.622,62.322,85.92,0.01497,0.008128,0.007926,0.33648,0.60096,0.7252,0.7558,0.22202,-0.6162,0.52282,-0.74026,0.42396
12,1,1,1,2,1,1,20,22.616,62.33,85.926,0.014972,0.008132,0.007924,0.3366,0.60114,0.72542,0.75568,0.22198,-0.6161,0.5228,-0.74022,0.42394
13,1,1,1,2,1,1,20,22.608,62.326,85.978,0.014972,0.008126,0.00792,0.33656,0.60106,0.72532,0.75558,0.22194,-0.61604,0.52264,-0.73998,0.42382
14,1,1,1,2,1,1,20,22.604,62.302,85.944,0.014976,0.008128,0.007922,0.33654,0.60098,0.72524,0.75566,0.22196,-0.6161,0.52282,-0.74022,0.42396
15,1,1,1,2,1,1,20,22.602,62.25,85.908,0.014976,0.008132,0.007922,0.33656,0.60102,0.72528,0.75542,0.22188,-0.6159,0.52292,-0.74036,0.42404
16,1,1,1,2,1,1,20,22.594,62.268,85.942,0.014976,0.008132,0.007922,0.3366,0.6011,0.72538,0.75492,0.22172,-0.6155,0.52304,-0.74052,0.42414
17,1,1,1,2,1,1,20,22.598,62.244,85.908,0.014972,0.008132,0.007924,0.33642,0.6008,0.725,0.75526,0.22182,-0.6158,0.52302,-0.74048,0.42412
18,1,1,1,2,1,1,20,22.596,62.22,85.892,0.01497,0.008132,0.007926,0.33636,0.6007,0.72488,0.75548,0.22188,-0.61598,0.52286,-0.74026,0.424
19,1,1,1,2,1,1,20,22.588,62.226,85.86,0.014976,0.00813,0.00793,0.3362,0.60042,0.72454,0.7557,0.22194,-0.61614,0.52266,-0.74,0.42384
20,1,1,1,2,1,1,20,22.596,62.268,85.886,0.014974,0.008126,0.007932,0.33608,0.6002,0.72428,0.75574,0.22196,-0.61618,0.5223,-0.7395,0.42356
21,1,1,1,2,1,1,20,22.592,62.25,85.838,0.014976,0.008126,0.007934,0.3361,0.60024,0.72434,0.75562,0.22192,-0.61608,0.52222,-0.73938,0.4235
22,1,1,1,2,1,1,20,22.592,62.21,85.768,0.01498,0.00813,0.007938,0.33612,0.6003,0.7244,0.75598,0.22202,-0.61636,0.52224,-0.73942,0.42352
23,1,1,1,2,1,1,20,22.59,62.188,85.804,0.014976,0.008132,0.007938,0.33616,0.60036,0.7245,0.75598,0.22202,-0.61636,0.52244,-0.7397,0.4237
24,1,1,1,2,1,1,20,22.59,62.2,85.712,0.014974,0.00813,0.007944,0.33624,0.60052,0.7247,0.75632,0.22212,-0.61664,0.52238,-0.7396,0.42364
25,1,1,1,2,1,1,20,22.6,62.204,85.676,0.014968,0.008126,0.007946,0.33614,0.60034,0.72448,0.75672,0.22224,-0.61698,0.52246,-0.73972,0.42372
26,1,1,1,2,1,1,20,22.602,62.25,85.684,0.01497,0.008124,0.007948,0.33626,0.60056,0.72476,0.75692,0.2223,-0.61714,0.52258,-0.73988,0.4238
27,1,1,1,2,1,1,20,22.612,62.258,85.694,0.01496,0.008126,0.007948,0.33628,0.6006,0.72482,0.75652,0.22218,-0.6168,0.52252,-0.73982,0.42376
28,1,1,1,2,1,1,20,22.62,62.258,85.706,0.014952,0.008132,0.007946,0.33628,0.6006,0.7248,0.75646,0.22216,-0.61676,0.52264,-0.74,0.42386
29,1,1,1,2,1,1,20,22.614,62.268,85.68,0.014958,0.00813,0.007948,0.33612,0.60034,0.72446,0.75628,0.2221,-0.6166,0.52244,-0.7397,0.42368
30,1,1,1,2,1,1,20,22.628,62.274,85.69,0.014952,0.00813,0.007948,0.336,0.60012,0.7242,0.75648,0.22216,-0.61678,0.52236,-0.73956,0.42362
