ID,m2,m3,m4,k,alpha,beta,Tem,omega_1,omega_2,omega_3,D_1,D_2,D_3,EVnorm1_1,EVnorm1_2,EVnorm1_3,EVnorm2_1,EVnorm2_2,EVnorm2_3,EVnorm3_1,EVnorm3_2,EVnorm3_3
1,1,1,1,2,1,1,20,22.4,61.9,86.1,0.0152,0.0082,0.0079,0.332,0.593,0.715,0.745,0.219,-0.607,0.516,-0.731,0.419
2,1,1,1,2,1,1,20,22.8,63.1,83.9,0.015,0.008,0.0081,0.339,0.605,0.73,0.741,0.218,-0.604,0.525,-0.744,0.426
3,1,1,1,2,1,1,20,22.7,62.8,88.8,0.015,0.0081,0.0078,0.339,0.605,0.73,0.757,0.222,-0.617,0.519,-0.735,0.421
4,1,1,1,2,1,1,20,22.7,62.9,85.8,0.0151,0.0082,0.0079,0.337,0.602,0.726,0.765,0.225,-0.624,0.536,-0.759,0.435
5,1,1,1,2,1,1,20,22.5,62.4,85.7,0.0149,0.0081,0.0079,0.335,0.598,0.722,0.753,0.221,-0.614,0.527,-0.746,0.427
6,1,1,1,2,1,1,20,21.9,61.9,85.5,0.0153,0.0082,0.008,0.337,0.601,0.726,0.759,0.223,-0.619,0.517,-0.732,0.419
7,1,1,1,2,1,1,20,22.9,62.5,88.1,0.0148,0.0081,0.0078,0.342,0.61,0.736,0.752,0.221,-0.613,0.527,-0.746,0.427
8,1,1,1,2,1,1,20,22.5,62.8,86.4,0.015,0.008,0.0079,0.34,0.607,0.732,0.76,0.223,-0.62,0.528,-0.747,0.428
9,1,1,1,2,1,1,20,22.4,61.5,85.7,0.0152,0.0082,0.0079,0.336,0.6,0.723,0.771,0.226,-0.628,0.526,-0.745,0.427
10,1,1,1,2,1,1,20,22.8,61.8,84.4,0.015,0.0082,0.0079,0.335,0.598,0.721,0.757,0.222,-0.617,0.516,-0.73,0.418
11,1,1,1,2,1,1,20,22.3,61.5,85,0.0151,0.0082,0.008,0.329,0.588,0.709,0.764,0.224,-0.623,0.519,-0.735,0.421
12,1,1,1,2,1,1,20,23,61.7,86,0.0149,0.0082,0.008,0.337,0.602,0.726,0.766,0.225,-0.624,0.528,-0.747,0.428
13,1,1,1,2,1,1,20,23.1,62.9,84.4,0.0146,0.008,0.008,0.335,0.599,0.722,0.751,0.221,-0.612,0.514,-0.727,0.416
14,1,1,1,2,1,1,20,22.1,63,86.9,0.0152,0.008,0.0078,0.332,0.593,0.715,0.76,0.223,-0.619,0.524,-0.742,0.425
15,1,1,1,2,1,1,20,22,63.6,86.6,0.0153,0.0081,0.0079,0.334,0.597,0.721,0.752,0.221,-0.613,0.524,-0.742,0.425
16,1,1,1,2,1,1,20,22.4,62.6,87.3,0.0151,0.0081,0.0079,0.34,0.608,0.733,0.761,0.223,-0.62,0.528,-0.748,0.428
17,1,1,1,2,1,1,20,23,63.6,85.5,0.0149,0.0081,0.0079,0.339,0.606,0.731,0.745,0.219,-0.607,0.522,-0.739,0.423
18,1,1,1,2,1,1,20,22.6,62.6,84.3,0.0149,0.0082,0.008,0.339,0.606,0.732,0.762,0.224,-0.621,0.519,-0.735,0.421
19,1,1,1,2,1,1,20,22.6,62,86.6,0.015,0.0082,0.0079,0.342,0.61,0.736,0.757,0.222,-0.617,0.526,-0.745,0.427
20,1,1,1,2,1,1,20,22.4,62.9,85.4,0.0151,0.008,0.008,0.342,0.612,0.738,0.756,0.222,-0.617,0.519,-0.735,0.421
21,1,1,1,2,1,1,20,22.5,62.6,87.5,0.0151,0.0081,0.0078,0.329,0.587,0.709,0.756,0.222,-0.616,0.52,-0.736,0.421
22,1,1,1,2,1,1,20,23,62.8,85.8,0.0147,0.0081,0.0079,0.335,0.598,0.721,0.758,0.223,-0.618,0.512,-0.725,0.415
23,1,1,1,2,1,1,20,22.2,62.1,87.4,0.0152,0.0082,0.0079,0.339,0.605,0.73,0.76,0.223,-0.62,0.513,-0.726,0.416
24,1,1,1,2,1,1,20,22.8,61.1,85.8,0.0149,0.0083,0.0079,0.337,0.602,0.727,0.766,0.225,-0.624,0.526,-0.744,0.426
25,1,1,1,2,1,1,20,22.6,61.5,85.9,0.0149,0.0082,0.008,0.334,0.597,0.72,0.758,0.223,-0.618,0.523,-0.741,0.424
26,1,1,1,2,1,1,20,22.7,64.5,86.4,0.0149,0.008,0.0079,0.335,0.599,0.723,0.755,0.222,-0.615,0.525,-0.744,0.426
27,1,1,1,2,1,1,20,22.8,61.2,86.7,0.0151,0.0082,0.0079,0.338,0.604,0.729,0.761,0.224,-0.621,0.523,-0.741,0.424
28,1,1,1,2,1,1,20,23,61.1,85.6,0.0148,0.0082,0.008,0.34,0.608,0.734,0.746,0.219,-0.608,0.519,-0.735,0.421
29,1,1,1,2,1,1,20,22.5,61.1,86,0.015,0.0083,0.0079,0.333,0.594,0.717,0.755,0.222,-0.615,0.523,-0.74,0.424
30,1,1,1,2,1,1,20,22.7,60,84.1,0.0148,0.0082,0.008,0.345,0.616,0.743,0.748,0.22,-0.61,0.519,-0.735,0.421
31,1,1,1,2,1,1,20,22.6,62.6,85.9,0.0151,0.0081,0.008,0.337,0.603,0.727,0.758,0.223,-0.618,0.52,-0.736,0.422
